id;orszagNev
AT;Ausztria
BA;Bosznia-Hercegovina
BE;Belgium
BG;Bulgária
BY;Fehéroroszország
CH;Svájc
CY;Ciprus
CZ;Csehország
DE;Németország
DK;Dánia
EE;Észtország
ES;Spanyolország
FI;Finnország
FR;Franciaország
GB;Egyesült Királyság
GR;Görögország
HR;Horvátország
HU;Magyarország
IE;Írország
IS;Izland
IT;Olaszország
KZ;Kazahsztán
LI;Liechtenstein
LT;Litvánia
LU;Luxemburg
LV;Lettország
MC;Monaco
ME;Montenegró
MT;Málta
NL;Hollandia
NO;Norvégia
NR;Nauru
PH;Fülöp-szigetek
PL;Lengyelország
PT;Portugália
RO;Románia
RS;Szerbia
RU;Oroszország
SE;Svédország
SI;Szlovénia
SK;Szlovákia
TR;Törökország
UA;Ukrajna
